position,person,personID,start,end
President,Ariel Henry,Q107451258,2021-07-20,
Prime Minister,Ariel Henry,Q107451258,2021-07-20,
Minister of Agriculture,Charlot Bredy,Q114735632,2021-07-20,
Minister of Commerce and Industry,Ricarden St-Jean,Q114735640,2021-07-20,
Minister of Culture and Communication,Ariel Henry,Q107451258,2021-11-25,
Minister of Defence,Enold Joseph,Q114735634,2021-07-20,
Minister of Economy and Finance,Michel Patrick Boivert,Q114735638,2021-07-20,
Minister of the Environment,James CADET,Q114736194,2021-07-20,
Minister of Foreign Affairs,Jean Victor Généus,Q113531338,2021-11-24,
Minister of Haitians Living Abroad,Nazareth AUGUSTE,Q114736196,2021-07-20,
Minister of Health,Alex LARSEN,Q114736193,2021-11-25,
Minister of Interior and Territorial Communities,Ariel Henry,Q107451258,2022-11-14,
Minister of National Education and Vocational Training,Nesmy Manigat,Q22134355,2021-11-24,
Minister of Planning and External Cooperation,Ricard Pierre,Q28803401,2021-11-25,
"Minister of Public Works, Transport and Communications",Rosemond Pradel,Q114735642,2021-11-24,
Minister of Social Affairs and Labour,Odney Pierre Ricot,Q114735956,2021-11-24,
Minister of the Status and Rights of Women,Sofia Loréus,Q111054262,2021-07-20,
Minister of Tourism,Luz Kurta Cassandra FRANÇOIS,Q114736195,2021-07-20,
"Minister of Youth, Sports and Civic Action",Raymonde RIVAL,Q114736197,2021-11-25,
President of the Senate,Joseph Lambert,Q107127987,2022-01-11,
