item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q106496152,NormalRank,Q6581097,true,false,,,,
Q107127987,NormalRank,Q6581097,true,false,,,,
Q107451258,NormalRank,Q6581097,true,false,,,,
Q108426423,NormalRank,Q6581097,true,false,,,,
Q108426424,NormalRank,Q6581097,true,false,,,,
Q108426425,NormalRank,Q6581097,true,false,,,,
Q109775616,NormalRank,Q6581097,true,false,,,,
Q111054262,NormalRank,Q6581072,true,false,,,,
Q1111324,NormalRank,Q6581097,true,true,true,false,false,false
Q113531338,NormalRank,Q6581097,true,false,,,,
Q113531492,,,,false,,,,
Q113531493,,,,false,,,,
Q113531494,,,,false,,,,
Q113531495,,,,false,,,,
Q114735632,,,,false,,,,
Q114735634,,,,false,,,,
Q114735635,,,,false,,,,
Q114735637,,,,false,,,,
Q114735638,,,,false,,,,
Q114735640,,,,false,,,,
Q114735641,,,,false,,,,
Q114735642,,,,false,,,,
Q114735956,,,,false,,,,
Q114736005,,,,false,,,,
Q114736193,,,,false,,,,
Q114736194,,,,false,,,,
Q114736195,,,,false,,,,
Q114736196,,,,false,,,,
Q114736197,,,,false,,,,
Q114736398,,,,false,,,,
Q114736428,,,,false,,,,
Q114736490,,,,false,,,,
Q12890819,NormalRank,Q6581097,true,false,,,,
Q12892120,NormalRank,Q6581097,true,false,,,,
Q12898435,NormalRank,Q6581097,true,false,,,,
Q15635856,NormalRank,Q6581097,true,false,,,,
Q17496908,NormalRank,Q6581097,true,false,,,,
Q18674649,NormalRank,Q6581072,true,false,,,,
Q208834,NormalRank,Q6581097,true,true,false,false,false,true
Q209617,NormalRank,Q6581097,true,true,false,false,false,true
Q209617,NormalRank,Q6581097,true,true,true,true,false,false
Q209617,NormalRank,Q6581097,true,true,true,false,false,false
Q21294765,NormalRank,Q6581097,true,true,false,false,false,true
Q2143963,NormalRank,Q6581097,true,false,,,,
Q21512019,NormalRank,Q6581097,true,false,,,,
Q21809321,NormalRank,Q6581097,true,false,,,,
Q22134355,NormalRank,Q6581097,true,false,,,,
Q23430047,NormalRank,Q6581097,true,false,,,,
Q24951046,NormalRank,Q6581072,true,true,false,false,false,true
Q24951558,NormalRank,Q6581097,true,false,,,,
Q25389354,NormalRank,Q6581072,true,false,,,,
Q25581833,NormalRank,Q6581097,true,false,,,,
Q260400,NormalRank,Q6581097,true,false,,,,
Q264711,NormalRank,Q6581072,true,true,false,false,false,true
Q28801981,NormalRank,Q6581097,true,false,,,,
Q28803401,NormalRank,Q6581097,true,false,,,,
Q28836953,NormalRank,Q6581097,true,false,,,,
Q29563695,NormalRank,Q6581097,true,false,,,,
Q3045967,NormalRank,Q6581097,true,false,,,,
Q315427,NormalRank,Q6581097,true,true,false,false,false,true
Q3166124,NormalRank,Q6581097,true,false,,,,
Q3456201,NormalRank,Q6581097,true,false,,,,
Q3574161,NormalRank,Q6581097,true,false,,,,
Q471075,NormalRank,Q6581097,true,false,,,,
Q5415948,NormalRank,Q6581097,true,false,,,,
Q560895,NormalRank,Q6581097,true,false,,,,
Q56651422,NormalRank,Q6581097,true,false,,,,
Q6207072,NormalRank,Q6581097,true,false,,,,
Q62596591,NormalRank,Q6581097,true,false,,,,
Q6386793,NormalRank,Q6581097,true,false,,,,
Q65512508,NormalRank,Q6581072,true,false,,,,
Q86979548,NormalRank,Q6581072,true,false,,,,
Q87188650,NormalRank,Q6581097,true,false,,,,
Q887405,NormalRank,Q6581097,true,true,false,false,false,true
Q96198910,NormalRank,Q6581097,true,false,,,,
Q97255367,NormalRank,Q6581072,true,true,false,false,false,true
Q57512,NormalRank,Q6581097,true,true,true,true,false,false
Q57512,NormalRank,Q6581097,true,true,false,false,false,true
Q57512,NormalRank,Q6581097,true,true,true,false,false,false
Q57854,NormalRank,Q6581097,true,true,true,false,false,false
