item,itemLabel,startDate,endDate,sourceDate,psid
Q471075,Jacques-Édouard Alexis,1999-03-26,2001-03-02,,Q471075-c9378d05-42d8-fa3a-6d70-eaf79e3decda
Q3045967,Jean Marie Chérestal,2001-03-02,2002-03-15,,Q3045967-24550d83-4aa4-2515-dbdf-7e05c0a37ab5
Q2143963,Yvon Neptune,2002-03-15,2004-03-12,,Q2143963-430E70FC-4484-4DD3-B6AB-F9CCDBABAEEE
Q560895,Gérard Latortue,2004-03-12,2006-06-09,,Q560895-5BC72DBE-1A92-4731-AA4C-4DD87831CB90
Q471075,Jacques-Édouard Alexis,2006-06-09,2008-09-05,,Q471075-c074854d-48a0-a41c-5201-af940027eb10
Q264711,Michèle Pierre-Louis,2008-09-05,2009-11-11,,Q264711-02e780c2-4602-649c-fd7c-eef5f1025c99
Q315427,Jean-Max Bellerive,2009-11-11,2011-10-18,,Q315427-a868e401-46cc-0616-bf60-7cec6a0e8862
Q260400,Garry Conille,2011-10-18,2012-05-16,,Q260400-de46c959-4176-9c5d-a465-6c6abec63ae7
Q57854,Laurent Lamothe,2012-05-16,2014-12-20,,Q57854-c4a9c352-48f5-50b0-f30f-a0a421560326
Q18674649,Florence Duperval Guillaume,2014-12-20,2015-01-16,,Q18674649-1aa59f23-4ace-6d01-54c5-005c39154477
Q5415948,Evans Paul,2015-01-16,2016-02-26,,Q5415948-58e91be2-4df9-0467-4bc4-276e1a1ceae1
Q23430047,Enex Jean-Charles,2016-03-25,2017-03-21,,Q23430047-da557a15-4369-442e-2248-0842fc6722e3
Q28836953,Jack Guy Lafontant,2017-03-21,2018-09-17,,Q28836953-d1803dd2-46b9-a46b-4100-67e3f10c9b5d
Q3166124,Jean-Henry Céant,2018-09-17,2019-03-21,,Q3166124-929d1c42-b178-496a-bba1-05447dc8c33d
Q62596591,Jean-Michel Lapin,2019-03-21,2020-03-04,,Q62596591-b9e3401b-e16b-4ac7-b4d1-cd7d142d1901
Q87188650,Joseph Joute,2020-03-04,2021-04-14,,Q87188650-293ed9d0-0726-487f-babc-834790964c8c
Q106496152,Claude Joseph,2021-04-14,2021-07-20,,Q106496152-aa7236e5-4720-f6c3-01ca-242f45cf6029
Q107451258,Ariel Henry,2021-07-20,,,Q107451258-047819cc-4bab-a128-b5e7-bda7227840cf
