item,itemLabel,startDate,endDate
Q471075,Jacques-Édouard Alexis,1999-03-26,2001-03-02
Q3045967,Jean Marie Chérestal,2001-03-02,2002-03-15
Q2143963,Yvon Neptune,2002-03-15,2004-03-12
Q560895,Gérard Latortue,2004-03-12,2006-06-09
Q471075,Jacques-Édouard Alexis,2006-06-09,2008-09-05
Q264711,Michèle Pierre-Louis,2008-09-05,2009-11-11
Q315427,Jean-Max Bellerive,2009-11-11,2011-10-18
Q260400,Garry Conille,2011-10-18,2012-05-16
Q57854,Laurent Lamothe,2012-05-16,2014-12-20
Q18674649,Florence Duperval Guillaume,2014-12-20,2015-01-16
Q5415948,Evans Paul,2015-01-16,2016-02-26
Q21809321,Fritz Jean,2016-02-26,2016-03-28
Q23430047,Enex Jean-Charles,2016-03-28,2017-03-21
Q28836953,Jack Guy Lafontant,2017-03-21,2018-09-17
Q3166124,Jean-Henry Céant,2018-09-17,2019-03-21
Q62596591,Jean-Michel Lapin,2019-03-21,2020-03-04
Q87188650,Joseph Jouthe,2020-03-04,2021-04-13
Q106496152,Claude Joseph,2021-04-14,2021-07-20
Q107451258,Ariel Henry,2021-07-20,
