@@,item,itemlabel,position,positionlabel,enddate,psid
---,Q114736193,Alex LARSEN,Q114735441,Minister of Health,,Q114736193-5E27D533-E322-490D-9EC4-56E7F94CAF5B
---,Q107451258,Ariel Henry,Q114735466,Minister of Culture and Communication,,Q107451258-F89C5CE5-BD77-4190-AF32-B29EFC85C095
---,Q107451258,Ariel Henry,Q113531482,Minister of Interior and Territorial Communities,,Q107451258-62452BCE-F0C3-48DF-81E7-D6B508CF2442
---,Q114736005,Berto Dorcé,Q114735418,Minister of Justice and Public Security,2022-11-14,Q114736005-76AAAEBE-AFAD-41A1-99D1-6875550A87D6
---,Q106496152,Claude Joseph,Q3251913,Foreign Minister of Haiti,2021-11-24,Q106496152-596C0504-F468-43B3-A858-FBACDA8C252E
---,Q114736194,James CADET,Q114736187,Minister of the Environment,,Q114736194-B773F144-6672-4CB5-9987-5D252E3EF740
---,Q96198910,Jean Emmanuel Jacquet,Q114735466,Minister of Culture and Communication,2021-11-25,Q96198910-8b72de10-4791-f3f4-9361-b4ea6deab5f0
+++,,Jean Victor Geneus,,des Cultes,,
---,Q114736195,Luz Kurta Cassandra FRANÇOIS,Q114736184,Minister of Tourism,,Q114736195-6422BF49-BF02-46C9-B274-F6473564DA94
---,Q97255367,Marie Gréta Roy CLEMENT,Q114735441,Minister of Health,2021-11-25,Q97255367-9908a469-4ce9-1ba4-38f6-132b547058a6
---,Q114736196,Nazareth AUGUSTE,Q114736178,Minister of Haitians Living Abroad,,Q114736196-52E16A77-ED12-4018-9F65-7646AB118DEC
---,Q22134355,Nesmy Manigat,Q114735408,Minister of National Education and Vocational Training of Haiti,,Q22134355-2C769944-16AA-4D49-B53D-1ACA2C706DE7
---,Q114735956,Odney Pierre Ricot,Q114735426,Minister of Social Affairs and Labor,,Q114735956-596070FC-5C67-40B7-8A54-1A5ECCACE59B
---,Q114736490,Petricks JUSTIN,Q114736186,"Minister of Youth, Sports and Civic Action",2021-11-25,Q114736490-4e91c0a7-4a6f-5ff7-b253-a9b94c78f9b3
---,Q114736197,Raymonde RIVAL,Q114736186,"Minister of Youth, Sports and Civic Action",,Q114736197-27C4B4F4-2F69-4850-96A9-D174FCA7B2AD
---,Q28803401,Ricard Pierre,Q114736181,Minister of Planning and External Cooperation,,Q28803401-FAE00F84-1923-4E91-9113-1CB31A44AF5F
---,Q114736428,Simon Dieusel DESRAS,Q114736181,Minister of Planning and External Cooperation,2021-11-25,Q114736428-59faa7d1-4c36-dd1b-f504-772eef9d1f96
---,Q111054262,Sofia Loréus,Q114735435,Minister on the Status and Rights of Women in Haiti,,Q111054262-609D70BE-E610-47C5-8CF0-2B7A46257FF8
---,Q114736398,Wilson EDOUARD,Q114735410,"Minister of Public Works, Transport and Communications",2021-11-24,Q114736398-f5c694b8-4f6b-143f-9a8f-8299edfcec57
