item,itemLabel,position,positionLabel,startDate,endDate
Q107451258,Ariel Henry,,Premier ministre,2021-07-20,
Q107451258,Ariel Henry,,Ministre des Affaires sociales et du Travail,2021-07-20,
,Jean Victor Geneus,,Ministre des Affaires étrangères,2021-07-20,
,Jean Victor Geneus,,des Cultes,2021-07-20,
,Michel Patrick Boivert,,Ministre de l'Économie et des Finances,2021-07-20,
,Charlot Bredy,,"Ministre de l'Agriculture, des Ressources natureIles et du Développement rural",2021-07-20,
,Rosemond Pradel,,"Ministre des Travaux publics, des Transports et de la Communication",2021-07-20,
,Ricarden St-Jean,,Ministre du Commerce et de l'Industrie,2021-07-20,
,Rockfeller Vincent,,Ministre de la Justice et de la Sécurité publique,2021-07-20,
,Liszt Quitel,,Ministre de l'Intérieur,2021-07-20,
,Marie Lucie Joseph,,Ministre de l'Éducation nationale et de la Formation professionnelle,2021-07-20,
,Enold Joseph,,Ministre de la Défense,2021-07-20,
