positionlabel,position
"Ministre de l'Agriculture, des Ressources natureIles et du Développement rural",Q114735601
Ministre de l'Intérieur,Q113531482
Ministre de l'Économie et des Finances,Q113531483
Ministre de l'Éducation nationale et de la Formation professionnelle,Q114735408
Ministre de la Défense,Q114735521
Ministre de la Justice et de la Sécurité publique,Q114735418
Ministre des Affaires sociales et du Travail,Q114735426
"Ministre des Travaux publics, des Transports et de la Communication",Q114735410
Ministre du Commerce et de l'Industrie,Q114735444
des Cultes,Q114735590
