position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q7614320,finance minister,,<noval>,1,Q86979548
Q7330070,foreign minister,,<noval>,1,Q86979548
Q17578116,interior minister,,<noval>,1,Q887405
