item,itemLabel,minister,ministerLabel
Q18345324,Ministry of Economy and Finance,Q113531483,Minister of Economy and Finance
Q18345354,Ministry of Interior and Territorial Communities,Q113531482,Minister of Interior and Territorial Communities
