who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
68181309,Q3290543,Acting President of Haiti,2021-07-20,,Q106496152,Claude Joseph (acting),,,0
68181309,Q1064589,Acting Prime Minister of Haiti,2021-07-20,,,Claude Joseph (acting),,,1
68181309,Ministry of Social Affairs and Labor (Haiti),Minister of Social Affairs and Labor,2015-09-11,2016-03-28,,Victor Benoît,,Jean René Antoine Nicolas,2
68181309,Ministry of Interior and Territorial Communities (Haiti),Minister of Interior and Territorial Communities,14 November 2022 (Acting),,,Liszt Quitel,,,3
68181309,,,2015-01-22,2015-09-11,,Réginald Delva,,Ardouin Zéphirin,4
