item,itemLabel,startDate,endDate
Q2143963,Yvon Neptune,2000-08-28,2002-03-14
,Fourel Célestin,2002-03-27,2004-08-29
,Yvon Feuillé,2004-08-29,2004-09-08
Q107127987,Joseph Lambert,2006-05-11,2006
Q6386793,Kely Bastien,2008-01,2011
,Jean Rodolphe Joazile,2011-01-24,2012-01-09
,Simon Dieuseul Desras,2012-01-09,2015-01-12
,Riché Andris,2015-01-12,2016-01-14
Q6207072,Jocelerme Privert,2016-01-14,2016-02-14
,Ronald Larêche,2016-02-14,2017-01-13
Q12898435,Youri Latortue,2017-01-13,2018-01-09
Q107127987,Joseph Lambert,2018-01-09,2019-01-17
Q28801981,Carl Murat Cantave,2019-01-17,2020-01-14
,Pierre François Sildor,2020-01-14,2021-01-12
Q107127987,Joseph Lambert,2021-01-12,2022-01-11
Q107127987,Joseph Lambert,2022-01-11,
